3,1,296.23,188.23,30.76,76.35,1,-1,-1,-1
4,1,295.78,186.49,31.37,77.91,1,-1,-1,-1
5,1,295.28,185.69,31.93,79.31,1,-1,-1,-1
8,1,282.44,188.59,33.89,83.96,1,-1,-1,-1
9,1,280.18,186.78,33.93,84.43,1,-1,-1,-1
10,1,277.27,182.83,34.25,85.25,1,-1,-1,-1
11,1,270.05,181.37,35.52,88.16,1,-1,-1,-1
12,1,262.61,180.84,36.44,89.87,1,-1,-1,-1
13,1,254.83,177.41,37.65,93.08,1,-1,-1,-1
14,1,252.42,174.82,38.44,94.92,1,-1,-1,-1
15,1,249.66,175.15,38.80,96.22,1,-1,-1,-1
16,1,245.94,175.32,39.27,97.96,1,-1,-1,-1
17,1,241.23,174.78,39.76,99.87,1,-1,-1,-1
17,88,101.49,184.45,39.51,87.35,1,-1,-1,-1
18,1,237.24,179.13,39.33,99.26,1,-1,-1,-1
18,88,101.29,186.20,39.47,87.37,1,-1,-1,-1
19,1,236.24,180.87,39.66,100.25,1,-1,-1,-1
19,88,103.55,186.10,39.96,88.77,1,-1,-1,-1
20,1,233.88,177.64,40.72,103.19,1,-1,-1,-1
20,88,108.53,183.94,40.18,89.91,1,-1,-1,-1
20,106,136.55,176.10,40.24,96.35,1,-1,-1,-1
21,1,233.21,176.41,40.83,103.62,1,-1,-1,-1
21,88,109.87,183.54,40.62,90.89,1,-1,-1,-1
21,106,139.79,174.83,40.51,97.12,1,-1,-1,-1
22,1,231.60,173.34,42.54,108.28,1,-1,-1,-1
22,88,117.37,182.22,39.70,89.55,1,-1,-1,-1
22,106,144.28,172.33,40.10,96.58,1,-1,-1,-1
23,1,228.60,172.53,43.24,110.06,1,-1,-1,-1
23,88,119.67,181.67,39.97,90.15,1,-1,-1,-1
23,106,147.12,170.48,40.35,97.17,1,-1,-1,-1
23,120,445.02,183.00,38.85,97.79,1,-1,-1,-1
24,1,230.23,171.93,44.45,112.72,1,-1,-1,-1
24,120,448.69,183.00,39.05,98.30,1,-1,-1,-1
